Datum dobave,SIPXbase,SIPXeuro-peak,SIPX1,SIPX2,SIPX3,SIPX4,SIPX5,SIPX6,SIPX7,SIPX8,SIPX9,SIPX10,SIPX11,SIPX12,SIPX13,SIPX14,SIPX15,SIPX16,SIPX17,SIPX18,SIPX19,SIPX20,SIPX21,SIPX22,SIPX23,SIPX24,SIPX25
05/24/24,99.75,91.42,100.74,91.22,87.54,85.59,86.96,99.09,116.26,123.08,99.72,97.06,86.83,78.24,76.14,72.25,74.56,81.39,84.45,99.51,112.64,134.27,174.08,122.82,109.67,99.84,
05/23/24,88.4,80.01,76.43,73.17,65.7,68.86,68.53,75.36,94.47,110.33,94.97,74.9,69.99,65.31,54.51,47.37,59.34,76.04,85.79,86.34,105.2,140.37,160.36,146.94,119.8,101.45,
05/22/24,85.24,82.5,81.95,71.21,62.63,56.45,58.71,72.29,89.39,105.93,105.73,85.46,75.4,75.89,61.37,53.44,58.41,74.54,90.12,89.47,90.22,130,142.36,126.06,100.73,87.88,
05/21/24,85.39,80.12,87.83,71.74,68.63,70.09,66.96,81.5,99.82,119.42,93.11,85.5,70.37,57.37,35.29,47.72,60.75,75.32,86.23,94.62,98.05,157.07,140.32,98.36,94.78,88.6,
05/20/24,74.15,52.12,89.12,87.36,77.29,76.76,78.74,87.89,101.82,115.21,68.02,39.54,19.9,35.57,8.85,6.74,7.26,31.61,44.24,102.5,104.86,156.33,144.27,112.25,94.75,88.75,
05/19/24,50.7,16.38,86.39,80.77,81.11,78.77,77.67,73.09,69.23,67.36,46.1,12.94,7.68,0.08,-2.24,-7.42,-11.04,-3.96,-4.36,3.07,67.53,88.15,116.17,112.81,95.3,81.5,
05/18/24,56.42,30.57,74.74,68.71,70.69,66.93,69.73,76,74.39,72.73,66.65,49.7,9.43,0.71,-0.02,-1.12,-2.4,-0.93,0.09,54.78,91.15,98.76,117.89,110.54,95.15,89.7,
05/17/24,103.44,97.56,78.41,82.4,81.45,81.46,85,96.17,113.73,137.07,154.09,103,94.41,81.9,58.53,46.56,54.48,60.01,96.75,127.5,140.49,153.02,204.53,137.94,106.23,107.34,
05/16/24,81.02,62.6,97.37,88.52,85.43,76.01,52.15,85,101.99,127.26,130,83,38.81,26.6,24.6,27.2,31.02,45.02,51.11,80.05,88.3,125.53,165.19,119.26,98.01,96.97,
05/15/24,81.76,60.24,86.06,82.78,77.22,63.24,86.04,93.25,126.01,126,128.46,70.13,37.11,27.63,20.41,18.87,19.78,30.24,38.68,81.39,97.63,152.5,180.25,125,97.63,96,
05/14/24,74.84,49.47,94.8,93.65,90,41.87,47.57,60.52,112.51,115.22,97.58,49.95,34.88,17.77,-2.42,-11.38,-5.64,13.55,55.58,84.65,120.39,138.67,212.52,135,100.91,98.09,
05/13/24,71.43,65.47,43.07,39.52,34.8,34.14,40.44,70,102,115,74.86,47.03,38.99,31.55,31.4,28.3,30.83,87.53,72.09,104.42,104.3,134.31,144.91,115.45,98,91.3,
05/12/24,20.78,-18.69,61.35,49.62,41.72,37.96,41.58,40.17,17.61,4.79,2.35,-2.59,-21.19,-53.96,-73.53,-104.96,-105.88,-63.95,-5.05,10.85,95.18,98.46,186.36,97.38,84.38,60.06,
05/11/24,53.56,16.81,85.77,83.18,79.43,78.42,78.98,83.3,77.39,69.93,48.83,6.74,0,-9.03,-16.69,-19.69,-18.79,-9.86,-0.35,44.05,79.88,96.67,141.24,116.08,95,95,
05/10/24,67.35,46.38,79.64,72.12,65.44,62.46,63.92,79.19,99.19,98.56,86.29,61.45,21.57,5.89,4.17,3.17,3.47,19.85,56.64,73.75,96.92,123.33,144.02,117.94,93.53,83.77,
05/09/24,61.02,34.73,80.62,80.58,76.19,75.47,79.61,81.1,83.55,72.45,59.35,28.09,13.33,7.62,7.32,6.39,6.39,8.43,17.89,59.15,79.4,123.35,133.81,113.32,90.88,80.17,
05/08/24,83.37,79.27,74.03,69.73,69.6,70.99,71.78,78.3,104.5,104.54,91.45,78.67,73.37,67.25,78.8,74.7,56.86,73.1,66.94,78.21,103,108.93,124.13,111.46,89.19,81.37,
05/07/24,90.63,88.18,81.73,78.9,76.84,77.98,77.83,80.19,95.51,119.03,112.66,91.75,85.33,85.1,73.59,71.91,67.84,76.57,76.8,82.75,98.91,134.93,136.3,112.71,94.85,84.99,
05/06/24,83.51,74.49,82.86,75.67,75.65,75.61,76.94,83.7,98.24,122.88,98.56,80.66,64.76,56.09,54.13,48.89,46.44,56.14,77.35,84.16,99.07,127.6,133.93,106.21,94.36,84.42,
05/05/24,49.81,21.7,83.84,77.23,77.34,73.3,68.29,65.39,57.9,45.97,33.1,19.22,6.33,0.44,0,-0.04,-0.97,-0.1,0,32,80.3,90.06,110,99.47,92.02,84.3,
05/04/24,65.28,45.54,86.91,80.8,77.96,77.96,79.44,74.56,80.5,79.35,59.47,52.05,41.17,26.18,13.73,7.41,10.19,25.13,44.09,71.59,88.09,107.37,121.2,101.5,81.52,78.57,
05/03/24,73.26,71.3,62.29,57.69,56.28,56.06,55.17,63.72,77.43,85.46,84.29,79.89,71.54,66.73,62.17,57.58,55.79,57.53,64.93,72.58,81.12,101.43,114.05,105,88.73,80.83,
05/02/24,51.96,50.66,19.33,14.4,13.37,11.36,11.85,31.87,71.26,87.31,60.87,31.45,16.22,2.33,1.3,4.79,0.35,80.33,97.57,97.66,100,115,129.31,104.15,75.95,68.97,
05/01/24,12.18,-25.19,62.97,53.86,48.07,42.72,44.92,42.74,41.11,29.97,10.26,0.34,-0.71,-33.8,-77.54,-98.82,-100.24,-68.76,-16.51,0.37,18.89,64.28,99.33,60.2,38.19,30.52,
04/30/24,64.99,48.22,73.32,65.21,67.94,68.86,68.33,78.48,93.28,100.31,79.76,65.94,49.52,28.98,13.76,7.98,4.91,19.14,44.12,63.31,86.2,115,124.04,88.09,77.19,76.02,
04/29/24,75.58,61.55,63.15,60.05,58.93,61.94,73.8,81.3,98.49,108.12,94.62,70.27,46.35,32.3,29.79,18.73,21.03,34.72,47.68,81.35,98.86,162.93,195.88,107.38,86.52,79.61,
04/28/24,19.88,-6.71,56.39,45.67,39.6,30.8,26.2,24.93,9.92,0.1,-0.07,-1.02,-16.75,-36.88,74.4,-54.85,-65.06,-52.43,-21.86,-0.02,24.9,69.12,106.23,78.56,72.21,66.94,
04/27/24,63.97,36.48,90.93,93.96,90.1,90.1,90.1,85.18,79.97,74.07,64.65,55.29,36.02,8.43,0.03,-0.08,0,0,18.52,55.46,79.42,120,162.73,98.05,76.98,65.29,
04/26/24,87.2,81.58,79.87,74,74.55,74.07,77.1,84,97.32,104.06,96.06,81.08,70.98,72.95,70.35,68.74,65.37,69.92,71.41,79.8,95.58,136.72,146.9,121.79,91.82,88.26,
04/25/24,90.58,85.75,83.5,80,77.58,76.34,75.67,84,102.64,128.08,112.18,92.1,80.34,78.2,73.92,68.5,66.28,69.97,72.23,80.22,99.52,135.51,152.29,113.79,91.35,79.74,
04/24/24,94.96,94.26,81.49,77.47,76.82,74.51,76.52,81.93,102.68,123.82,114.62,97.96,89.96,89.78,89,83.18,78.96,79.52,80.17,90.64,103.7,133.61,136.84,120,105.46,90.37,
04/23/24,98.61,94.11,88.32,86.69,85.95,85.16,85.51,96.6,120.04,177.75,136.28,98.71,84.17,83.04,83.63,78.93,78.62,78.87,84.47,95.05,105.35,122.25,125.02,108.84,95.5,81.88,
04/22/24,94.72,89.9,76.39,78.05,78.44,74.71,72.44,82.98,105.9,129.95,117.46,97.05,80.3,76.62,72.07,70.19,66.78,68.16,75.62,88.27,115.23,151.04,162.55,130.25,105.84,97.03,
04/21/24,52.7,32.55,79.41,65.62,67.64,64.24,63.3,60.03,59.96,57.24,57.43,39.64,30.2,29.3,17.45,-0.17,-1.08,0.06,5.37,53.2,71,88.17,93.53,89.93,87.3,86.08,
04/20/24,56.06,41.08,64.59,59.12,57.33,57.75,60.86,61.66,63.12,66.75,59.36,49.07,43.65,33.91,24.91,10.45,8.88,15.61,33.12,55.76,73.29,85,102.03,93.21,84.79,81.16,
04/19/24,67.9,64.51,75.6,59.16,48.67,48.27,47.51,58.31,106.11,85.13,76.94,66.44,58.33,50.58,43.22,41.24,40.98,49.99,59.58,71.31,96.09,119.4,98.45,83.64,75.68,68.86,
04/18/24,92.84,87.63,91.45,83.22,79.91,76.64,82.37,83.51,118.41,154.04,131.19,101.12,85.76,78.2,74.81,72.66,68.82,67.62,70.52,81.33,93.81,125.74,130.16,107.29,89.91,79.68,
04/17/24,83.79,82.15,71.83,64.42,56.24,49.08,60.01,72.83,91.47,111.95,98.36,73.98,68.31,66.28,67.33,70.03,68.67,70.26,70.86,80.3,105.26,146.1,151.62,124.98,89.43,81.28,
04/16/24,58.59,63.81,28.64,19.1,8.03,13.15,26.38,42.36,62.63,77.82,73.85,75.37,52.55,42.82,40.14,40,42.08,50.72,66.61,80.24,92.92,108.44,113.71,94.34,79.97,74.22,
04/15/24,72.16,63.11,75.46,75.19,72.41,72.85,70.24,81.34,106.99,155.96,138.68,80.18,65.21,51.76,39.44,29.12,13.56,43.6,56.23,73.65,76.35,89.52,84.48,74.06,59.07,46.44,
04/14/24,18.4,-5.29,44.76,31.18,7.25,10.3,21.45,9.26,12.86,13,7.48,0,-2.02,-11.25,-38.28,-53.67,-55.37,-40.03,-6.25,1.57,60.02,74.34,96.37,92.39,87.79,78.5,
04/13/24,17.42,-4.33,57.4,46.38,23.78,18.7,18.97,24.35,28.97,33.16,21.35,8.8,-0.02,-9.97,-24.9,-50,-55.01,-49.91,-17.74,0.59,36.47,88.32,80.1,53.11,44.43,40.67,
04/12/24,55.45,35.8,70.62,65.2,61.1,60,63.12,70.62,82.54,91.57,76.4,59.23,37.4,18.06,0,-0.07,-0.09,0.02,0.19,54.28,72.94,111.28,116.86,81.72,73.95,63.94,
04/11/24,54.5,37.43,64.37,59.25,54.62,53.97,54.34,56.56,70.58,70.67,52.2,29.72,9.65,1.5,1.81,1.73,1.26,25.86,50.15,68.43,86.9,119.97,127.62,94.95,80.59,71.19,
04/10/24,65.57,69.73,24.59,13.98,10.3,12.8,26.69,48.64,73,99.63,105.71,77.4,66.27,54.49,39.9,28.67,29.71,48.24,56.68,71.81,90.64,167.2,166.94,106.48,82.17,71.7,
04/09/24,54.49,42.97,65.59,60.4,58.25,54.97,59.49,63.96,82.56,84.59,67.41,59.95,45.05,39.69,30.11,8.84,9.2,26.76,34.45,46.79,66.23,81.2,90.3,66.88,59.82,45.18,
04/08/24,60.89,45.65,64.94,63.48,60.94,62.02,62.78,68.43,89.16,121.8,90.35,64.99,6.02,-0.48,7.86,10.06,12.93,23.26,51.66,67.98,91.41,121.75,116.47,77.34,66.14,60.1,
04/07/24,19.94,11.52,10.81,0.94,0,0,0,0,0,0,0,-0.01,-0.16,-3.25,-8.03,-15.23,-19.25,-5.04,-0.14,6.6,84.1,98.69,100.85,85.85,73.73,68.05,
04/06/24,37.54,23.1,53.94,41.64,44,44.43,46.72,49.57,52.6,53.41,52.12,42.11,22.95,6.39,-4.6,-4.81,-13.78,-18.58,-1.68,33.27,73.08,90.69,76.62,65.98,55.32,39.66,
04/05/24,51.36,39.22,58.83,55.72,51.39,50.92,48.86,61.3,68.89,75.7,72.33,59.65,44.04,22.66,8.28,0.01,0.98,13.46,26.1,53.25,64.43,105.42,104.15,64.96,63.41,57.9,
04/04/24,61.34,61.68,50.99,49.06,45.32,46.64,52.93,56.88,73.95,87.39,70.08,64.39,59.08,55.95,50.17,48.66,48.71,49.29,50.12,60.66,73.01,110,77.11,68.59,66.47,56.66,
04/03/24,74.18,72.49,65.73,63.42,62.66,63.27,63.61,71.85,86.45,107.45,102.31,65.75,40.83,48.35,53.87,56.02,57.59,65.3,68.56,86.5,101.46,123.3,102.58,81.92,76.05,65.4,
04/02/24,32.46,26.75,10.07,3.91,1.92,1.41,2.55,7.63,53.65,70.91,65.87,44.15,4.42,0.97,1.13,-0.13,-0.02,0,4.31,38.71,70.14,91.46,94.6,74.17,70.57,66.65,
